001843,01,50592708000157,ASS.DAS ADM. DE BENS IMOVEIS E CONDOMINI,AABIC,SP,SAO PAULO,AUTOMACAO
001846,01,51219962000177,PANIFICADORA PORTUGALIA LTDA - EPP,PANIFICADORA PORTUGALIA,SP,SAO PAULO,AUTOMACAO
001852,01,52708005000177,PANIFICADORA DEL REY LTDA,PANIFICADORA DEL REY,SP,SANTOS,AUTOMACAO
001854,01,52872777000140,ARIZONA PAES E DOCES LTDA EPP,ARIZONA PAES E DOCES,SP,SAO PAULO,AUTOMACAO
001859,01,55631907000140,FAPI BAR E LANCHES LTDA,POMPEIA BAR,SP,SAO PAULO,AUTOMACAO
001861,01,56389190000135,PANIFICADORA PC LTDA,VILLA DOS PAES,SP,SAO PAULO,AUTOMACAO
001863,01,57037368000141,PANIFICADORA VILA CARMEM LTDA EPP,PANIFICADORA CARMEM,SP,SAO PAULO,AUTOMACAO
001871,01,58190273000126,PADARIA E CONFEITARIA BOTAFOGO LTDA EPP,PANIFICADORA BOTAFOGO,SP,SANTOS,AUTOMACAO
001875,01,59091587000134,JUST - TRADUCOES S/S LTDA.,JUST TRADUCOES 227,SP,SAO PAULO,AUTOMACAO
001878,01,60584620000147,ASSOCIACAO BRASIL DAS INDUSTRIAS DA ALIM,ABIA,SP,SAO PAULO,AUTOMACAO
001880,01,60717493000107,AUTO POSTO LEITAO LTDA,AUTO POSTO LEITAO,SP,SAO PAULO,AUTOMACAO
001905,01,60973005000122,PANIFICADORA E CONFEITARIA COVADONGA LTD,COVADONGA,SP,SAO PAULO,AUTOMACAO
001909,01,61026225000101,PANIFICADORA E CONFEITARIA VITORIA REGIA,PANIFICADORA VITORIA REGIA,SP,SAO PAULO,AUTOMACAO
001918,01,61268074000106,PANIFICADORA CRUZ DE AVIZ LTDA EPP,CRUZ DE AVIZ,SP,SAO PAULO,AUTOMACAO
001923,01,61527560000193,PANIFICADORA RAINHA DO ABILIO SOARES LTD,RAINHA DO ABILIO SOARES,SP,SAO PAULO,AUTOMACAO
001927,01,61585816000119,ELIDIO RAIMUNDO R.E,ELIDIO MOOCA,SP,SAO PAULO,AUTOMACAO
001928,01,61585816000208,ERF COMERCIO DE ALIMENTOS LTDA - EPP,ELIDIO BAR,SP,SAO PAULO,AUTOMACAO
001932,01,61836441000112,PANIFICADORA E CONFEITARIA JOVEM PAN LTD,PADARIA JOVEM PAN,SP,SAO PAULO,AUTOMACAO
001934,01,61907705000181,IND E COM DE PANIFICACAO DA PRACA LTDA E,A PRACA PAES E DOCES,SP,SAO PAULO,AUTOMACAO
001959,01,67048033000182, DE TUDO PARA TODOS - COMERCIO DE ANTIGU,DE TUDO PARA TODOS -,SP,SANTOS,AUTOMACAO
001962,01,67945071000138,SAPORE S.A,SAPORE S.A,SP,CAMPINAS,AUTOMACAO
001967,01,69010528000148,PAES E DOCES COMENDADOR LTDA EPP,PAES E DOCES COMENDADOR,SP,SAO PAULO,AUTOMACAO
001979,01,74315201000114,LARSOL PAES E DOCES LTDA EPP,PANIFICADORA LARSOL,SP,SAO PAULO,AUTOMACAO
002016,01,07663572000108,PANIFICADORA NOSSA SENHORA DE PRAIA GRANDE LTDA ME,PANIFICADORA NOSSA SENHORA,SP,PRAIA GRANDE,AUTOMACAO
002019,01,72878564000132,UTINA PAES E DOCES LTDA - ME,COLISEU PAES E DOCES,SP,SANTO ANDRE,AUTOMACAO
002022,01,53963567000120,PANIFICADORA BALNEARIA LTDA - ME,PANIFICADORA BALNEARIA,SP,PRAIA GRANDE,AUTOMACAO
002023,01,06949388000158,BELLA PETROPOLIS PADARIA E CONFEITARIA L,BELLA PETROPOLIS PANIFICADORA,SP,SAO BERNARDO DO CAMPO,AUTOMACAO
002024,01,10323153000123,CENTRAL PARK ABC AUTO POSTO LTDA - ME,CENTRAL PARK ABC,SP,SAO BERNARDO DO CAMPO,AUTOMACAO
002027,01,54650734000145,CAPRI PAES E DOCES LTDA - EPP,PADARIA CAPRI,SP,SANTO ANDRE,AUTOMACAO
002028,01,56308166000124,PANIFICADORA AVENIDA CENTER LTDA - EPP,PADARIA AVENIDA,SP,PRAIA GRANDE,AUTOMACAO
002029,01,59322685000135,PANIFICADORA BOA SORTE LTDA - EPP,PADARIA BOA SORTE,SP,SAO CAETANO DO SUL,AUTOMACAO
002047,01,08529170000170,SERGIO DA CUNHA SARDILLI CAFE - ME,CAFE PARADA OBRIGATORIA,SP,SANTO ANDRE,AUTOMACAO
002072,01,08059632000132,MELRY REINALDI SERRA - PANIFICADORA - ME,MELRY,SP,PRAIA GRANDE,AUTOMACAO
